bowler,matches,total_runs_conceded,total_balls_bowled,total_illegal_deliveries,total_wides,total_no_balls,total_legal_deliveries,avg_runs_conceded,total_wickets,bowled,lbw,caught,stumped,others,total_overs,economy,motm_count,purple_caps
I Sharma,93,2779,2090,93,72,21,1997,29.881720430107528,72,17.0,4.0,51.0,0.0,0.0,334,8.320359281437126,2,0
I Udana,10,286,182,8,8,0,174,28.6,8,2.0,0.0,6.0,0.0,0.0,29,9.862068965517242,0,0
IC Pandey,24,609,469,7,5,2,462,25.375,18,4.0,0.0,14.0,0.0,0.0,77,7.909090909090909,0,0
IC Porel,1,42,26,2,2,0,24,42.0,1,0.0,0.0,1.0,0.0,0.0,4,10.5,0,0
IK Pathan,101,2711,2113,70,69,1,2043,26.84158415841584,80,22.0,6.0,49.0,0.0,3.0,345,7.857971014492754,2,0
IS Sodhi,8,204,182,1,1,0,181,25.5,9,1.0,1.0,7.0,0.0,0.0,31,6.580645161290323,0,0
Imran Tahir,59,1729,1340,24,23,1,1316,29.305084745762713,82,16.0,7.0,51.0,3.0,5.0,221,7.823529411764706,1,1
Iqbal Abdulla,48,1125,943,23,23,0,920,23.4375,40,5.0,6.0,24.0,3.0,2.0,154,7.305194805194805,2,0
J Botha,34,818,709,15,15,0,694,24.058823529411764,25,7.0,6.0,7.0,3.0,2.0,116,7.051724137931035,1,0
J Suchith,21,604,434,14,14,0,420,28.761904761904763,19,3.0,1.0,12.0,2.0,1.0,70,8.628571428571428,0,0
J Syed Mohammad,11,286,196,4,4,0,192,26.0,8,1.0,0.0,6.0,1.0,0.0,32,8.9375,0,0
J Theron,10,311,235,14,12,2,221,31.1,11,5.0,1.0,5.0,0.0,0.0,37,8.405405405405405,1,0
J Yadav,19,421,374,8,6,2,366,22.157894736842106,8,2.0,0.0,4.0,0.0,2.0,61,6.901639344262295,0,0
JA Morkel,87,2409,1807,84,71,13,1723,27.689655172413794,85,17.0,7.0,58.0,0.0,3.0,288,8.364583333333334,2,0
JA Richardson,3,122,69,3,3,0,66,40.666666666666664,3,2.0,0.0,1.0,0.0,0.0,11,11.090909090909092,0,0
JC Archer,35,1008,858,31,27,4,827,28.8,46,11.0,2.0,31.0,0.0,2.0,139,7.251798561151079,1,0
JD Ryder,16,314,241,5,5,0,236,19.625,8,2.0,0.0,6.0,0.0,0.0,40,7.85,1,0
JD Unadkat,90,2806,1942,46,45,1,1896,31.177777777777777,92,15.0,1.0,69.0,0.0,7.0,319,8.796238244514107,6,0
JDP Oram,14,362,244,7,6,1,237,25.857142857142858,9,0.0,0.0,8.0,0.0,1.0,40,9.05,1,0
JDS Neesham,13,342,222,6,6,0,216,26.307692307692307,8,1.0,0.0,7.0,0.0,0.0,36,9.5,0,0
JE Taylor,5,167,122,5,4,1,117,33.4,6,0.0,0.0,6.0,0.0,0.0,20,8.35,0,0
JEC Franklin,15,225,155,4,2,2,151,15.0,9,1.0,0.0,8.0,0.0,0.0,26,8.653846153846153,1,0
JH Kallis,89,2348,1799,57,48,9,1742,26.382022471910112,65,18.0,6.0,40.0,0.0,1.0,291,8.06872852233677,10,0
JJ Bumrah,120,3499,2857,93,64,29,2764,29.158333333333335,148,33.0,16.0,95.0,0.0,4.0,463,7.557235421166307,8,0
JJ van der Wath,3,134,76,4,2,2,72,44.666666666666664,3,0.0,0.0,3.0,0.0,0.0,12,11.166666666666666,0,0
JL Pattinson,10,321,222,9,9,0,213,32.1,11,1.0,2.0,8.0,0.0,0.0,37,8.675675675675675,0,0
JM Kemp,5,58,47,3,3,0,44,11.6,3,0.0,1.0,2.0,0.0,0.0,9,6.444444444444445,0,0
JO Holder,38,1199,873,49,46,3,824,31.55263157894737,49,6.0,2.0,41.0,0.0,0.0,138,8.68840579710145,1,0
JP Behrendorff,5,168,117,3,3,0,114,33.6,5,0.0,0.0,5.0,0.0,0.0,19,8.842105263157896,0,0
JP Duminy,49,847,701,23,23,0,678,17.285714285714285,23,5.0,2.0,13.0,1.0,2.0,115,7.3652173913043475,4,0
JP Faulkner,60,1849,1287,49,44,5,1238,30.816666666666666,61,18.0,2.0,41.0,0.0,0.0,209,8.84688995215311,5,0
JPR Scantlebury-Searles,3,89,45,3,3,0,42,29.666666666666668,2,0.0,0.0,2.0,0.0,0.0,7,12.714285714285714,0,0
JR Hazlewood,24,754,565,16,16,0,549,31.416666666666668,32,1.0,2.0,28.0,0.0,1.0,92,8.195652173913043,1,0
JR Hopes,20,562,369,9,9,0,360,28.1,14,1.0,1.0,11.0,0.0,1.0,60,9.366666666666667,0,0
JW Hastings,3,66,61,3,2,1,58,22.0,3,1.0,0.0,2.0,0.0,0.0,10,6.6,0,0
Jalaj S Saxena,1,27,18,0,0,0,18,27.0,0,,,,,,3,9.0,0,0
Jaskaran Singh,7,174,111,9,5,4,102,24.857142857142858,6,0.0,1.0,5.0,0.0,0.0,18,9.666666666666666,0,0
Joginder Sharma,15,421,272,16,9,7,256,28.066666666666666,12,3.0,1.0,8.0,0.0,0.0,43,9.790697674418604,0,0
K Goel,6,94,67,1,1,0,66,15.666666666666666,0,,,,,,11,8.545454545454545,0,0
K Gowtham,28,677,486,6,6,0,480,24.178571428571427,18,5.0,0.0,10.0,2.0,1.0,80,8.4625,0,0
K Kartikeya,4,103,78,0,0,0,78,25.75,5,1.0,1.0,3.0,0.0,0.0,13,7.923076923076923,0,0
K Khejroliya,5,157,101,6,6,0,95,31.4,3,1.0,1.0,1.0,0.0,0.0,16,9.8125,0,0
K Rabada,63,2023,1498,60,51,9,1438,32.111111111111114,102,15.0,0.0,83.0,0.0,4.0,241,8.394190871369295,2,1
K Santokie,2,91,51,3,3,0,48,45.5,3,0.0,0.0,3.0,0.0,0.0,8,11.375,0,0
K Upadhyay,3,81,56,2,2,0,54,27.0,0,,,,,,9,9.0,0,0
K Yadav,1,17,12,0,0,0,12,17.0,0,,,,,,2,8.5,0,0
KA Jamieson,9,271,179,11,8,3,168,30.11111111111111,9,1.0,0.0,8.0,0.0,0.0,28,9.678571428571429,0,0
KA Pollard,107,2200,1586,98,90,8,1488,20.560747663551403,69,5.0,3.0,53.0,1.0,7.0,251,8.764940239043824,14,0
