batter,innings,total_runs,total_balls,outs,total_50s,total_100s,avg_strike_rate,motm_count,orange_caps,average,fours,sixes
BB McCullum,109,2882,2272,106,13,2,110.4614780212032,5,0,26.440366972477065,293,130
BB Samantray,8,125,116,5,1,0,108.07291666666667,0,0,15.625,13,2
BB Sran,7,10,14,1,0,0,77.14285714285714,0,0,1.4285714285714286,0,0
BCJ Cutting,17,238,146,11,0,0,142.4030218147865,1,0,14.0,15,19
BE Hendricks,2,1,3,1,0,0,25.0,0,0,0.5,0,0
BJ Haddin,1,18,11,1,0,0,163.63636363636365,0,0,18.0,2,1
BJ Hodge,63,1400,1153,46,6,0,103.78487176179087,6,0,22.22222222222222,122,43
BJ Rohrer,8,193,146,7,1,0,137.42201997143124,0,0,24.125,21,5
BMAJ Mendis,3,23,27,3,0,0,64.27015250544663,0,0,7.666666666666667,0,0
BR Dunk,3,40,36,3,0,0,114.41798941798942,0,0,13.333333333333334,7,0
Basil Thampi,7,32,37,2,0,0,70.59523809523809,0,0,4.571428571428571,1,1
Bipul Sharma,17,187,124,6,0,0,132.9873394579277,0,0,11.0,11,9
C Madan,1,15,21,1,0,0,71.42857142857143,0,0,15.0,3,0
C Munro,11,177,144,9,0,0,100.77060194707252,0,0,16.09090909090909,19,8
C Nanda,1,0,1,1,0,0,0.0,0,0,0.0,0,0
C Sakariya,5,16,25,4,0,0,58.242424242424235,0,0,3.2,2,0
C de Grandhomme,21,303,229,15,0,0,105.10090439684646,0,0,14.428571428571429,18,18
CA Ingram,15,205,183,12,0,0,107.04259675717698,0,0,13.666666666666666,22,5
CA Lynn,42,1329,974,39,10,0,123.11681781289647,4,0,31.642857142857142,132,66
CA Pujara,22,390,403,18,1,0,88.97973763344577,0,0,17.727272727272727,50,4
CH Gayle,141,4997,3516,128,32,6,123.83699996395451,22,2,35.43971631205674,407,359
CH Morris,49,618,413,29,2,0,113.06538997462735,3,0,12.612244897959183,41,35
CJ Anderson,29,538,436,22,3,0,99.19095977191773,3,0,18.551724137931036,40,31
CJ Ferguson,8,98,119,6,0,0,84.11605937921728,0,0,12.25,9,0
CJ Jordan,10,75,68,7,0,0,93.41666666666667,1,0,7.5,3,3
CJ McKay,1,8,15,1,0,0,53.333333333333336,0,0,8.0,0,0
CK Kapugedera,3,16,24,3,0,0,50.142450142450144,0,0,5.333333333333333,0,0
CK Langeveldt,2,8,9,2,0,0,50.0,0,0,4.0,0,1
CL White,45,971,774,35,6,0,105.21872996823055,1,0,21.57777777777778,76,38
CM Gautam,13,169,158,9,0,0,101.6831562427096,0,0,13.0,17,6
CR Brathwaite,14,181,120,14,0,0,140.4839208410637,1,0,12.928571428571429,10,16
CR Woakes,12,78,77,5,0,0,92.60371572871573,0,0,6.5,7,2
CRD Fernando,2,4,3,1,0,0,150.0,1,0,2.0,0,0
CV Varun,8,24,38,2,0,0,67.85037878787878,2,0,3.0,2,0
D Brevis,7,161,116,7,0,0,121.99884355656138,0,0,23.0,14,11
D Kalyankrishna,1,3,8,1,0,0,37.5,0,0,3.0,0,0
D Padikkal,46,1260,1057,45,7,1,101.81952364109935,1,0,27.391304347826086,135,36
D Pretorius,5,44,28,4,0,0,123.92857142857142,0,0,8.8,3,3
D Salunkhe,3,33,24,1,0,0,143.33333333333334,0,0,11.0,5,0
D Wiese,8,127,94,5,0,0,125.13194444444444,0,0,15.875,12,4
D du Preez,1,10,13,1,0,0,76.92307692307693,0,0,10.0,0,0
DA Miller,101,2455,1838,69,12,1,121.23698677474721,5,0,24.306930693069308,169,113
DA Warner,162,5883,4313,143,55,4,117.83663845176109,18,3,36.31481481481482,577,216
DAJ Bracewell,1,12,9,0,0,0,133.33333333333331,0,0,12.0,1,0
DB Das,22,304,267,12,0,0,120.921632436232,0,0,13.818181818181818,23,16
DB Ravi Teja,25,375,325,20,1,0,115.55763471892504,0,0,15.0,35,9
DE Bollinger,4,21,23,1,0,0,60.238095238095234,2,0,5.25,1,1
DH Yagnik,17,170,142,9,0,0,117.14248170130523,0,0,10.0,23,2
DJ Bravo,110,1560,1247,69,5,0,125.3795886376467,4,0,14.181818181818182,120,66
DJ Harris,4,111,103,3,0,0,107.70308123249299,0,0,27.75,11,5
DJ Hooda,75,1237,970,58,7,0,117.31010081811134,1,0,16.493333333333332,77,56
DJ Hussey,61,1322,1101,49,5,0,105.1603624585656,2,0,21.672131147540984,90,60
DJ Jacobs,7,92,101,7,0,0,79.19626941685765,0,0,13.142857142857142,10,4
DJ Malan,1,26,26,1,0,0,100.0,0,0,26.0,1,1
DJ Mitchell,2,33,46,2,0,0,72.47619047619048,0,0,16.5,1,0
DJ Muthuswami,1,1,3,1,0,0,33.33333333333333,0,0,1.0,0,0
DJ Thornely,4,39,54,3,0,0,46.52777777777778,0,0,9.75,2,2
